id,created_at,text,rt_count,fav_count,english
1126056309529255936,2019-05-08 09:28:39+00:00,Looking forward to it! https://t.co/jGHPM6cSUR,16,163,Looking forward to it! https://t.co/jGHPM6cSUR 
1125573031605166080,2019-05-07 01:28:17+00:00,My concern about today’s incident in Albury was for the older lady who was knocked off her feet. I helped her up and gave her a hug. Our farmers have to put up with these same idiots who are invading their farms and their homes.,483,3415,My concern about today’s incident in Albury was for the older lady who was knocked off her feet. I helped her up and gave her a hug. Our farmers have to put up with these same idiots who are invading their farms and their homes. 
1125508779418591232,2019-05-06 21:12:58+00:00,"Huge congratulations to Prince Harry and Meghan, the Duchess of Sussex, on the birth of their baby boy today. Becoming a parent is one of the greatest joys of life! #RoyalBaby https://t.co/Cj2I8lzRSN",99,710,"Huge congratulations to Prince Harry and Meghan, the Duchess of Sussex, on the birth of their baby boy today. Becoming a parent is one of the greatest joys of life! #RoyalBaby https://t.co/Cj2I8lzRSN "
1125332350882029572,2019-05-06 09:31:54+00:00,A fair go for those who have a go. That’s what we believe. There’s a clear choice at the next election. Back the team that’s got a plan to build our economy and secure your future #BuildingOurEconomy https://t.co/Ll5oqtUv15,84,405,A fair go for those who have a go. That’s what we believe. There’s a clear choice at the next election. Back the team that’s got a plan to build our economy and secure your future #BuildingOurEconomy https://t.co/Ll5oqtUv15 
1125251678523936769,2019-05-06 04:11:20+00:00,"We’re delivering $128m to redevelop Shellharbour Hospital in NSW, which will ensure we deliver world-class health services to the region &amp; that we’re giving patients the health care they need closer to home — with our @LiberalAus candidate for Gilmore @nyunggai https://t.co/X1xu4dML3c",41,194,"We’re delivering $128m to redevelop Shellharbour Hospital in NSW, which will ensure we deliver world-class health services to the region &amp; that we’re giving patients the health care they need closer to home — with our @LiberalAus candidate for Gilmore @nyunggai https://t.co/X1xu4dML3c "
1125191381939449857,2019-05-06 00:11:45+00:00,We’re backing Australia’s manufacturing sector to expand and create more jobs with $5m to re-invigorate and promote the ‘Australian Made’ logo in our key export markets #BuildingOurEconomy https://t.co/vvly4HIZ9h,54,221,We’re backing Australia’s manufacturing sector to expand and create more jobs with $5m to re-invigorate and promote the ‘Australian Made’ logo in our key export markets #BuildingOurEconomy https://t.co/vvly4HIZ9h 
1125174371994091520,2019-05-05 23:04:09+00:00,Wishing our Australian Muslim community a blessed and peaceful holy month of Ramadan. Ramadan Mubarak.,60,353,Wishing our Australian Muslim community a blessed and peaceful holy month of Ramadan. Ramadan Mubarak. 
1124835574571945984,2019-05-05 00:37:54+00:00,"So proud of Jen and so blessed to have her in my life. She’s right - it’s time the stigma was removed and we started talking more openly about mental health, including to each other, and getting the help and support we all need. https://t.co/QSMproqj5P",186,1347,"So proud of Jen and so blessed to have her in my life. She’s right - it’s time the stigma was removed and we started talking more openly about mental health, including to each other, and getting the help and support we all need. https://t.co/QSMproqj5P "
1124822241516982273,2019-05-04 23:44:55+00:00,As a dad I know first-hand how anxious parents feel about what their kids see &amp; do online &amp; the dangers the internet can bring. Online trolls have no place in Australia &amp; I promise to bring in new laws to protect our kids &amp; keep our community safe. https://t.co/eYNTPs1lUv,106,657,As a dad I know first-hand how anxious parents feel about what their kids see &amp; do online &amp; the dangers the internet can bring. Online trolls have no place in Australia &amp; I promise to bring in new laws to protect our kids &amp; keep our community safe. https://t.co/eYNTPs1lUv 
1124226715364937728,2019-05-03 08:18:30+00:00,Getting ready for the @SkyNewsAust debate tonight with Bill Shorten. Great to have Jen here to support me. Make sure you tune in to watch it live at 6:30pm AEST #peoplesforum #auspol #ausvotes https://t.co/zbbiCo6jd9,30,257,Getting ready for the @SkyNewsAust debate tonight with Bill Shorten. Great to have Jen here to support me. Make sure you tune in to watch it live at 6:30pm AEST #peoplesforum #auspol #ausvotes https://t.co/zbbiCo6jd9 
1124214373218578433,2019-05-03 07:29:28+00:00,Tonight is the second live debate where I’ll go head-to-head with Bill Shorten. Make sure you tune in to watch it live on @SkyNewsAust at 6:30pm AEST. https://t.co/VfxtXVMnhq,21,138,Tonight is the second live debate where I’ll go head-to-head with Bill Shorten. Make sure you tune in to watch it live on @SkyNewsAust at 6:30pm AEST. https://t.co/VfxtXVMnhq 
1124117954721865728,2019-05-03 01:06:20+00:00,"Great to be alongside the Yarra in Melbourne today to announce over $200m for a cleaner environment. Our funding will increase recycling, reduce waste, protect threatened species like the koala, and restore waterways and coasts — with @JoshFrydenberg https://t.co/EwddEckohH",44,223,"Great to be alongside the Yarra in Melbourne today to announce over $200m for a cleaner environment. Our funding will increase recycling, reduce waste, protect threatened species like the koala, and restore waterways and coasts — with @JoshFrydenberg https://t.co/EwddEckohH "
1123734808591466496,2019-05-01 23:43:51+00:00,"Early morning visit today to an apple orchard in Spreyton, with Jen &amp; our candidate for Braddon Gavin Pearce. It’s a thriving business that’s bounced back well from the fruit fly incursion &amp; is looking to resume exports overseas again in the future https://t.co/9RF1dvqwiK",35,202,"Early morning visit today to an apple orchard in Spreyton, with Jen &amp; our candidate for Braddon Gavin Pearce. It’s a thriving business that’s bounced back well from the fruit fly incursion &amp; is looking to resume exports overseas again in the future https://t.co/9RF1dvqwiK "
1123705163372539907,2019-05-01 21:46:03+00:00,"Great fun to have a kick around with some talented young footballers in Perth yesterday with @SteveIronsMP   We’re investing $16m into a new football training centre there to help showcase the game and develop new, grassroots talent ⚽️ https://t.co/fwGkT22hBj",24,142,"Great fun to have a kick around with some talented young footballers in Perth yesterday with @SteveIronsMP   We’re investing $16m into a new football training centre there to help showcase the game and develop new, grassroots talent ⚽️ https://t.co/fwGkT22hBj "
1123409334782664705,2019-05-01 02:10:32+00:00,"Today a new medicine for arthritis saving patients up to $16,000 a year is available on the PBS.   By keeping our economy strong, it means we’ve been able to add over 2000 new medicines to the PBS since we were elected - that’s around 1 new listing a day. https://t.co/LWklxqfEJ5",72,306,"Today a new medicine for arthritis saving patients up to $16,000 a year is available on the PBS.   By keeping our economy strong, it means we’ve been able to add over 2000 new medicines to the PBS since we were elected - that’s around 1 new listing a day. https://t.co/LWklxqfEJ5 "
1123132889367863296,2019-04-30 07:52:02+00:00,"Australia is the most successful multicultural country in the world. Today I had the pleasure of meeting members of the many different local multicultural communities at an event in Koondoola, WA. Even managed to have a quick game of table tennis as well  https://t.co/vaydYj2AA6",42,273,"Australia is the most successful multicultural country in the world. Today I had the pleasure of meeting members of the many different local multicultural communities at an event in Koondoola, WA. Even managed to have a quick game of table tennis as well  https://t.co/vaydYj2AA6 "
1123061917906395136,2019-04-30 03:10:01+00:00,"We want to keep Australians safe and make our communities safer, which is why we’re investing an extra $20m to install up to 2600 more CCTV cameras in around 500 crime hotspots around the country ➡️ https://t.co/DNEcMrDx3O https://t.co/2zQJCS0o3Z",51,272,"We want to keep Australians safe and make our communities safer, which is why we’re investing an extra $20m to install up to 2600 more CCTV cameras in around 500 crime hotspots around the country ➡️ https://t.co/DNEcMrDx3O https://t.co/2zQJCS0o3Z "
1122801102296993792,2019-04-29 09:53:38+00:00,"Australians will make a choice in a few weeks times, and it's an important choice. Higher taxes or lower taxes, a stronger economy or a weaker economy. We're going to keep building our economy so we can secure your future. #BuildingOurEconomy #auspol #ausvotes #LeadersDebate",150,781,"Australians will make a choice in a few weeks times, and it's an important choice. Higher taxes or lower taxes, a stronger economy or a weaker economy. We're going to keep building our economy so we can secure your future. #BuildingOurEconomy #auspol #ausvotes #LeadersDebate "
1122790219919450113,2019-04-29 09:10:23+00:00,We have a positive plan for Australia #LeadersDebate #BuildingOurEconomy https://t.co/daKx6aQsFD,53,234,We have a positive plan for Australia #LeadersDebate #BuildingOurEconomy https://t.co/daKx6aQsFD 
